Year,trillion km
1936, 0.02
1937, 0.02
1938, 0.02
1939, 0.03
1940, 0.03
1941, 0.03
1942, 0.03
1943, 0.03
1944, 0.03
1945, 0.03
1946, 0.04
1947, 0.04
1948, 0.04
1949, 0.04
1950, 0.05
1951, 0.05
1952, 0.05
1953, 0.05
1954, 0.06
1955, 0.06
1956, 0.07
1957, 0.08
1958, 0.09
1959, 0.10
1960, 0.11
1961, 0.11
1962, 0.15
1963, 0.16
1964, 0.17
1965, 0.19
1966, 0.23
1967, 0.28
1968, 0.31
1969, 0.35
1970, 0.46
1971, 0.50
1972, 0.55
1973, 0.62
1974, 0.65
1975, 0.70
1976, 0.77
1977, 0.85
1978, 0.95
1979, 1.06
1980, 1.10
1981, 1.12
1982, 1.15
1983, 1.20
1984, 1.28
1985, 1.35
1986, 1.46
1987, 1.59
1988, 1.73
1989, 1.78
1990, 1.80
1991, 1.85
1992, 1.93
1993, 1.98
1994, 2.12
1995, 2.28
1996, 2.45
1997, 2.57
1998, 2.65
1999, 2.86
2000, 3.10
2001, 3.13
2002, 3.15
2003, 3.25
2004, 3.66
2005, 3.96
2006, 4.24
2007, 4.49
2008, 4.58
2009, 4.60
2010, 4.95
2011, 5.27
2012, 5.56
2013, 5.86
2014, 6.24
2015, 6.65
2016, 7.00
